사업장명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업종구분소분류,도,시,로
동아리꼬치구이일도점,영업,제주특별자치도 제주시 이도이동 409-6번지 (연삼로525),"제주특별자치도 제주시 연삼로 507 (이도이동,(연삼로525))",63218.0,호프/통닭,제주특별자치도,제주시,연삼로
이매화지혜제주해물밥,영업,제주특별자치도 제주시 외도이동 313-1,제주특별자치도 제주시 월대3길 14-6 (외도이동),63068.0,한식,제주특별자치도,제주시,월대3길
챠우챠우,영업,제주특별자치도 제주시 애월읍 하귀1리 214-16,제주특별자치도 제주시 애월읍 하귀동남2길 17,63052.0,중국식,제주특별자치도,제주시,애월읍
제주닭한마리,영업,제주특별자치도 제주시 연동 273-8 (지하1층),"제주특별자치도 제주시 연동7길 30, 지하1층 (연동)",63123.0,호프/통닭,제주특별자치도,제주시,연동7길
곰탕제작소신제주점,영업,제주특별자치도 제주시 연동 273-22,"제주특별자치도 제주시 노연로 95, 1층 (연동)",63123.0,한식,제주특별자치도,제주시,노연로
슌앤스시,영업,제주특별자치도 제주시 노형동 2581-4번지,"제주특별자치도 제주시 수덕로 4, 1층 (노형동)",63100.0,일식,제주특별자치도,제주시,수덕로
돈야탑촌일도점,영업,제주특별자치도 제주시 이도이동 1957-10번지,제주특별자치도 제주시 신설로11길 31 (이도이동),63229.0,식육(숯불구이),제주특별자치도,제주시,신설로11길
우도해녀식당,영업,제주특별자치도 제주시 우도면 연평리 2308-3번지,"제주특별자치도 제주시 우도면 우도해안길 440, 나동 1층",63365.0,한식,제주특별자치도,제주시,우도면
인다생구이,영업,제주특별자치도 제주시 아라일동 6147-9번지,"제주특별자치도 제주시 인다5길 56-10, 1층 (아라일동)",63248.0,식육(숯불구이),제주특별자치도,제주시,인다5길
희한한삼춘,영업,제주특별자치도 제주시 이도일동 1271-9,"제주특별자치도 제주시 오현길 4, 1층 (이도일동)",63195.0,한식,제주특별자치도,제주시,오현길
휴점빵,영업,제주특별자치도 제주시 도남동 922-41,제주특별자치도 제주시 도남로 53 (도남동),63200.0,까페,제주특별자치도,제주시,도남로
생돈구이촌,영업,제주특별자치도 제주시 노형동 1277-5,제주특별자치도 제주시 다랑곶길 19 (노형동),63098.0,호프/통닭,제주특별자치도,제주시,다랑곶길
미향해장국한림,영업,제주특별자치도 제주시 한림읍 한림리 977-4,"제주특별자치도 제주시 한림읍 한림상로 164, 1층",63028.0,한식,제주특별자치도,제주시,한림읍
거목,영업,제주특별자치도 제주시 한림읍 한림리 1348번지 가동(1층),제주특별자치도 제주시 한림읍 사가길 3 (가동),63032.0,까페,제주특별자치도,제주시,한림읍
웃뜨르우리돼지,영업,제주특별자치도 제주시 한경면 청수리 3260-1,"제주특별자치도 제주시 한경면 연명로 2, 1층 제2호",63007.0,식육(숯불구이),제주특별자치도,제주시,한경면
매니아불닭용담점,영업,제주특별자치도 제주시 용담이동 623-23번지 (1층),제주특별자치도 제주시 흥운길 3 (용담이동),63156.0,통닭(치킨),제주특별자치도,제주시,흥운길
참살이정육식당,영업,제주특별자치도 제주시 일도이동 367-10번지 (1층),제주특별자치도 제주시 고마로14길 14 (일도이동),63275.0,식육(숯불구이),제주특별자치도,제주시,고마로14길
헝그리닭발포차,영업,제주특별자치도 제주시 노형동 1065-8번지 (1층),제주특별자치도 제주시 월랑로4길 3 (노형동),63097.0,호프/통닭,제주특별자치도,제주시,월랑로4길
오야짬뽕,영업,제주특별자치도 제주시 봉개동 2423번지,"제주특별자치도 제주시 아봉로 761, 1층 (봉개동)",63313.0,중국식,제주특별자치도,제주시,아봉로
