사업장명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업종구분소분류,도,시,로
탑동에이치지,영업,제주특별자치도 제주시 삼도이동 1120-2,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",63166.0,기타,제주특별자치도,제주시,무근성안길
에릭스에스프레소,영업,제주특별자치도 제주시 구좌읍 세화리 1397-6번지,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",63361.0,기타,제주특별자치도,제주시,구좌읍
일품순두부한림점,영업,제주특별자치도 제주시 한림읍 대림리 1845-2번지,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",63030.0,한식,제주특별자치도,제주시,한림읍
김복남맥주제주아라점,영업,제주특별자치도 제주시 아라일동 6139,"제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)",63248.0,식육(숯불구이),제주특별자치도,제주시,중앙로
봉플라봉뱅,영업,제주특별자치도 제주시 연동 312-57번지 정인하우스,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",63122.0,기타,제주특별자치도,제주시,문송1길
멜꽃삼,영업,제주특별자치도 제주시 아라일동 6138,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",63248.0,정종/대포집/소주방,제주특별자치도,제주시,중앙로
가빈거래처,영업,제주특별자치도 제주시 아라일동 368-81,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",63243.0,기타,제주특별자치도,제주시,산천단동2길
스톤아일랜드탭하우스,영업,제주특별자치도 제주시 연동 280-37,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",63118.0,기타,제주특별자치도,제주시,삼무로7길
레게펍,영업,제주특별자치도 제주시 한림읍 귀덕리 3019,,,기타,,,
옹포분식,영업,제주특별자치도 제주시 한림읍 옹포리 127-15번지,"제주특별자치도 제주시 한림읍 월계로 15, 1층",63012.0,기타,제주특별자치도,제주시,한림읍
연두랑고갈비,영업,제주특별자치도 제주시 도남동 67-9,"제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)",63221.0,한식,제주특별자치도,제주시,독짓골2길
협재더꽃돈본점,영업,제주특별자치도 제주시 한림읍 협재리 1781-1,"제주특별자치도 제주시 한림읍 한림로 366, 1층",63011.0,기타,제주특별자치도,제주시,한림읍
한마음정육식당삼화점,영업,제주특별자치도 제주시 도련일동 1977-5,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",63323.0,기타,제주특별자치도,제주시,건주로6길
와르다레스토랑,영업,제주특별자치도 제주시 삼도이동 148-3번지,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",63169.0,기타,제주특별자치도,제주시,관덕로8길
길섶나그네,영업,제주특별자치도 제주시 조천읍 와산리 1303-6,"제주특별자치도 제주시 조천읍 미래로 241, 1층",63346.0,한식,제주특별자치도,제주시,조천읍
사랑뜰,영업,제주특별자치도 제주시 한림읍 한림리 1419-1,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",63032.0,기타,제주특별자치도,제주시,한림읍
불티나네,영업,제주특별자치도 제주시 애월읍 하귀2리 2720,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",63050.0,기타,제주특별자치도,제주시,애월읍
수니테이블,영업,제주특별자치도 제주시 구좌읍 하도리 1544-2번지,제주특별자치도 제주시 구좌읍 문주란로 33-1,63363.0,분식,제주특별자치도,제주시,구좌읍
연화양꼬치,영업,제주특별자치도 제주시 연동 276-3,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",63136.0,중국식,제주특별자치도,제주시,연동8길
제주황금장어함덕점,영업,제주특별자치도 제주시 조천읍 함덕리 955-8,"제주특별자치도 제주시 조천읍 함덕로 20, 1층",63333.0,기타,제주특별자치도,제주시,조천읍
예쁘게즐겁게,영업,제주특별자치도 제주시 구좌읍 월정리 278,"제주특별자치도 제주시 구좌읍 월정3길 14, 1층",63358.0,기타,제주특별자치도,제주시,구좌읍
제주도해녀세자매,영업,제주특별자치도 제주시 한림읍 수원리 942-1,제주특별자치도 제주시 한림읍 한림해안로 275,63023.0,일식,제주특별자치도,제주시,한림읍
24시누름돌김치찌개,영업,제주특별자치도 제주시 연동 304-3,"제주특별자치도 제주시 노연로 146, 1층 (연동)",63133.0,기타,제주특별자치도,제주시,노연로
선흘바람,영업,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",63341.0,기타,제주특별자치도,제주시,조천읍
이돈갓아라점,영업,제주특별자치도 제주시 아라일동 6127-4,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)",63248.0,기타,제주특별자치도,제주시,인다10길
바삭돈가스삼화점,영업,제주특별자치도 제주시 화북일동 1019-4 티엠빌딩,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)",63303.0,경양식,제주특별자치도,제주시,화삼로
남궁푸드,영업,제주특별자치도 제주시 한림읍 한림리 936-7,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층",63032.0,기타,제주특별자치도,제주시,한림읍
한림피그농원,영업,제주특별자치도 제주시 한림읍 한림리 455,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층",63028.0,기타,제주특별자치도,제주시,한림읍
하도39,영업,제주특별자치도 제주시 구좌읍 하도리 463-5번지,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층",63363.0,기타,제주특별자치도,제주시,구좌읍
옥성식당,영업,제주특별자치도 제주시 이도일동 1289-5 보성시장,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)",63197.0,기타,제주특별자치도,제주시,동광로1길
제주마당,영업,제주특별자치도 제주시 이호일동 663-1,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)",63108.0,기타,제주특별자치도,제주시,도리로
보오리,영업,제주특별자치도 제주시 애월읍 광령리 2611-1,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층",63062.0,기타,제주특별자치도,제주시,애월읍
대붕정,영업,제주특별자치도 제주시 조천읍 선흘리 464-2번지,"제주특별자치도 제주시 조천읍 선교로 571, 1층",63341.0,한식,제주특별자치도,제주시,조천읍
미연이네집,영업,제주특별자치도 제주시 연동 281-17 삼무주택,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)",63125.0,기타,제주특별자치도,제주시,삼무로7길
영화루,영업,제주특별자치도 제주시 연동 304-37,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)",63133.0,중국식,제주특별자치도,제주시,사장길
맥주창고,영업,제주특별자치도 제주시 도남동 909-1번지 윤재연립,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)",63201.0,기타,제주특별자치도,제주시,도남로
성두길일오포차,영업,제주특별자치도 제주시 연동 291-83,"제주특별자치도 제주시 성두길 15, 1층 (연동)",63125.0,기타,제주특별자치도,제주시,성두길
램앤블랙,영업,제주특별자치도 제주시 조천읍 교래리 471-3,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층",63346.0,기타,제주특별자치도,제주시,조천읍
살레안의고깃,영업,제주특별자치도 제주시 노형동 1942-1번지,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)",63093.0,기타,제주특별자치도,제주시,월산남길
쉬멍해장국,영업,제주특별자치도 제주시 이도이동 2035-9,"제주특별자치도 제주시 구남로4길 8-12, 1층 (이도이동)",63233.0,한식,제주특별자치도,제주시,구남로4길
우도청정식당,영업,제주특별자치도 제주시 우도면 연평리 1185-2번지,"제주특별자치도 제주시 우도면 우도해안길 804, 1층",63365.0,한식,제주특별자치도,제주시,우도면
핫피엔도,영업,제주특별자치도 제주시 삼도일동 529-3,"제주특별자치도 제주시 전농로 48-1, 1층 (삼도일동)",63176.0,호프/통닭,제주특별자치도,제주시,전농로
호주면세점제주점,영업,제주특별자치도 제주시 연동 256-10 뉴전원빌라,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)",63137.0,기타,제주특별자치도,제주시,연동4길
향기마라탕오리전문점,영업,제주특별자치도 제주시 삼도이동 1241-12,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)",63179.0,중국식,제주특별자치도,제주시,중앙로
폭풍장어외도점,영업,제주특별자치도 제주시 외도일동 405-4,"제주특별자치도 제주시 일주서로 7326, 1층 (외도일동)",63069.0,기타,제주특별자치도,제주시,일주서로
인추자커피앤민박,영업,제주특별자치도 제주시 추자면 대서리 8-8,"제주특별자치도 제주시 추자면 추자로 20-1, 1층",63000.0,기타,제주특별자치도,제주시,추자면
혜안,영업,제주특별자치도 제주시 해안동 1724-1,"제주특별자치도 제주시 해안마을10길 39, 1층 (해안동)",63077.0,기타,제주특별자치도,제주시,해안마을10길
수빈이네제주밥상,영업,제주특별자치도 제주시 건입동 675-9번지,"제주특별자치도 제주시 사라봉7길 31-1, 1층 (건입동)",63283.0,한식,제주특별자치도,제주시,사라봉7길
안녕하샌,영업,제주특별자치도 제주시 구좌읍 월정리 562,"제주특별자치도 제주시 구좌읍 월정3길 53-15, 2동",63358.0,호프/통닭,제주특별자치도,제주시,구좌읍
오늘식탁,영업,제주특별자치도 제주시 이도이동 1035-3,"제주특별자치도 제주시 가령로4길 1, 1층 (이도이동)",63210.0,분식,제주특별자치도,제주시,가령로4길
신촌도시락,영업,제주특별자치도 제주시 조천읍 신촌리 1789-3 라움시티,"제주특별자치도 제주시 조천읍 신북로 88, 지1층 104호 (라움시티)",63337.0,한식,제주특별자치도,제주시,조천읍
사랑방포차,영업,제주특별자치도 제주시 한림읍 한림리 1207,"제주특별자치도 제주시 한림읍 한림중앙로 14, 1층",63032.0,한식,제주특별자치도,제주시,한림읍
돈삼겹직영5호점,영업,제주특별자치도 제주시 이도이동 1952-2,"제주특별자치도 제주시 신설로9길 37, 지하1층 (이도이동)",63229.0,한식,제주특별자치도,제주시,신설로9길
미미래,영업,제주특별자치도 제주시 용담이동 359-51번지,"제주특별자치도 제주시 용담로 94, 1층 (용담이동)",63156.0,기타,제주특별자치도,제주시,용담로
티엔미미,영업,제주특별자치도 제주시 연동 253-13번지,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)",63132.0,기타,제주특별자치도,제주시,연동4길
호자,영업,제주특별자치도 제주시 구좌읍 세화리 1318-3번지,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층",63361.0,한식,제주특별자치도,제주시,구좌읍
장전반점,영업,제주특별자치도 제주시 애월읍 장전리 429,"제주특별자치도 제주시 애월읍 하소로 373, 1층",63055.0,중국식,제주특별자치도,제주시,애월읍
아하,영업,제주특별자치도 제주시 연동 282-17,"제주특별자치도 제주시 은남1길 31, 3층 (연동)",63124.0,기타,제주특별자치도,제주시,은남1길
돌담칼국수세화점,영업,제주특별자치도 제주시 구좌읍 세화리 1-15,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",63361.0,한식,제주특별자치도,제주시,구좌읍
베롱베롱인행원,영업,제주특별자치도 제주시 구좌읍 행원리 165-3번지,"제주특별자치도 제주시 구좌읍 해맞이해안로 820-38, 1층",63358.0,한식,제주특별자치도,제주시,구좌읍
동문감자탕,영업,제주특별자치도 제주시 일도일동 1102-10번지 보인빌딩,"제주특별자치도 제주시 중앙로13길 25-2, 보인빌딩 1층 (일도일동)",63264.0,한식,제주특별자치도,제주시,중앙로13길
심해,영업,제주특별자치도 제주시 조천읍 신흥리 35-4,"제주특별자치도 제주시 조천읍 조함해안로 330-1, 지하1층",63332.0,일식,제주특별자치도,제주시,조천읍
애월기록,영업,제주특별자치도 제주시 애월읍 하귀2리 2964-9번지,"제주특별자치도 제주시 애월읍 번대동길 4, 1층",63050.0,기타,제주특별자치도,제주시,애월읍
금능식당,영업,제주특별자치도 제주시 한림읍 금능리 2088-54,"제주특별자치도 제주시 한림읍 한림로 224, 1층",63010.0,분식,제주특별자치도,제주시,한림읍
역전할머니맥주제주시청점,영업,제주특별자치도 제주시 이도이동 1773-26,"제주특별자치도 제주시 광양8길 4, 1층 (이도이동)",63207.0,호프/통닭,제주특별자치도,제주시,광양8길
멜맥집,영업,제주특별자치도 제주시 건입동 1322,"제주특별자치도 제주시 중앙로1길 41-1, 1층 (건입동)",63277.0,기타,제주특별자치도,제주시,중앙로1길
오늘도치킨과맥주가좋다,영업,제주특별자치도 제주시 한림읍 한림리 1323-3번지,"제주특별자치도 제주시 한림읍 사가길 22, 1층",63032.0,호프/통닭,제주특별자치도,제주시,한림읍
알프스인소길,영업,제주특별자치도 제주시 애월읍 소길리 854-2번지,"제주특별자치도 제주시 애월읍 소길남길 22, 1층",63037.0,기타,제주특별자치도,제주시,애월읍
뽕꼬랑,영업,제주특별자치도 제주시 조천읍 와흘리 165-39번지,"제주특별자치도 제주시 조천읍 남조로 2228, 1층",63346.0,기타,제주특별자치도,제주시,조천읍
노가리앤비어이도일동점,영업,제주특별자치도 제주시 이도일동 1245-3번지,"제주특별자치도 제주시 동광로 39, 1층 (이도일동)",63196.0,호프/통닭,제주특별자치도,제주시,동광로
진주네로,영업,제주특별자치도 제주시 애월읍 하귀1리 1650-1,"제주특별자치도 제주시 애월읍 하귀12길 39, 1층",63053.0,한식,제주특별자치도,제주시,애월읍
오토김밥제주점,영업,제주특별자치도 제주시 노형동 1045-9,"제주특별자치도 제주시 월랑로10길 23, 1층 (노형동)",63096.0,기타,제주특별자치도,제주시,월랑로10길
젠틀래빗제주연동점,영업,제주특별자치도 제주시 연동 284-9,"제주특별자치도 제주시 연동12길 4, 15층 (연동)",63133.0,패밀리레스트랑,제주특별자치도,제주시,연동12길
딜레탕트,영업,제주특별자치도 제주시 조천읍 조천리 3253-12,"제주특별자치도 제주시 조천읍 신북로 144, 1,2층",63331.0,기타,제주특별자치도,제주시,조천읍
제주울어멍김밥,영업,제주특별자치도 제주시 노형동 743-5,"제주특별자치도 제주시 진군2길 17, 1층 (노형동)",63089.0,한식,제주특별자치도,제주시,진군2길
체게바라,영업,제주특별자치도 제주시 내도동 522,"제주특별자치도 제주시 내도3길 21, 1층 (내도동)",63074.0,기타,제주특별자치도,제주시,내도3길
미리로,영업,제주특별자치도 제주시 이호일동 1795번지,"제주특별자치도 제주시 테우해안로 136, 2층 (이호일동)",63111.0,기타,제주특별자치도,제주시,테우해안로
36.5도여름,영업,제주특별자치도 제주시 애월읍 납읍리 2274-7번지,"제주특별자치도 제주시 애월읍 애납로 165, 1층",63035.0,기타,제주특별자치도,제주시,애월읍
더더,영업,제주특별자치도 제주시 애월읍 신엄리 753-1번지,"제주특별자치도 제주시 애월읍 엄장로 16, 1층",63048.0,기타,제주특별자치도,제주시,애월읍
안녕전복,영업,제주특별자치도 제주시 삼도이동 887-1,"제주특별자치도 제주시 관덕로 3, 1층 (삼도이동)",63167.0,한식,제주특별자치도,제주시,관덕로
한앤솜하우스,영업,제주특별자치도 제주시 노형동 1576-10,"제주특별자치도 제주시 진군남2길 10-5, 1층 (노형동)",63092.0,기타,제주특별자치도,제주시,진군남2길
사이분식,영업,제주특별자치도 제주시 한림읍 한림리 1391-2,"제주특별자치도 제주시 한림읍 한성길 4-1, 1층",63032.0,한식,제주특별자치도,제주시,한림읍
치토랑제주아라점,영업,제주특별자치도 제주시 아라이동 1384-9번지,"제주특별자치도 제주시 간월동로 21, 1층 (아라이동)",63245.0,경양식,제주특별자치도,제주시,간월동로
오그커피,영업,제주특별자치도 제주시 한림읍 옹포리 458번지,"제주특별자치도 제주시 한림읍 옹포3길 9-3, 1층",63012.0,기타,제주특별자치도,제주시,한림읍
온푸드,영업,제주특별자치도 제주시 이도이동 1955-3,"제주특별자치도 제주시 신설로11길 51, 1층 (이도이동)",63229.0,한식,제주특별자치도,제주시,신설로11길
삼양백년짜장,영업,제주특별자치도 제주시 삼양이동 2102-17,"제주특별자치도 제주시 설촌로12길 36, 1층 (삼양이동)",63319.0,중국식,제주특별자치도,제주시,설촌로12길
부원뚝배기,영업,제주특별자치도 제주시 한림읍 대림리 1221-6,"제주특별자치도 제주시 한림읍 일주서로 5608, 지하1층",63026.0,한식,제주특별자치도,제주시,한림읍
호탕,영업,제주특별자치도 제주시 애월읍 애월리 1574-2,"제주특별자치도 제주시 애월읍 애월로8길 8, 1층",63043.0,한식,제주특별자치도,제주시,애월읍
온월,영업,제주특별자치도 제주시 한림읍 동명리 2209-1,"제주특별자치도 제주시 한림읍 명월성로 137-19, 1층",63014.0,기타,제주특별자치도,제주시,한림읍
다다미,영업,제주특별자치도 제주시 노형동 1053-3번지,"제주특별자치도 제주시 월랑로 30, 1층 2호 (노형동)",63097.0,한식,제주특별자치도,제주시,월랑로
플로리카페,영업,제주특별자치도 제주시 영평동 2689-1,"제주특별자치도 제주시 연신로 188-20, 누리힐 1층 (영평동)",63308.0,경양식,제주특별자치도,제주시,연신로
춘천명동닭갈비삼화점,영업,제주특별자치도 제주시 화북일동 1015-2,"제주특별자치도 제주시 화삼로1길 16, 1층 (화북일동)",63303.0,한식,제주특별자치도,제주시,화삼로1길
옹포쌀국수,영업,제주특별자치도 제주시 용담일동 144-24,"제주특별자치도 제주시 서문로 70-1, 1~3층 (용담일동)",63154.0,분식,제주특별자치도,제주시,서문로
카페공방아지트,영업,제주특별자치도 제주시 조천읍 조천리 2422-2번지,"제주특별자치도 제주시 조천읍 조천7길 25, 1층",63331.0,기타,제주특별자치도,제주시,조천읍
바른곱창하귀점,영업,제주특별자치도 제주시 애월읍 하귀1리 163-3,"제주특별자치도 제주시 애월읍 하광로 53, 1층",63054.0,기타,제주특별자치도,제주시,애월읍
신제주황가네,영업,제주특별자치도 제주시 연동 283-28번지,"제주특별자치도 제주시 은남3길 28, 1층 (연동)",63123.0,기타,제주특별자치도,제주시,은남3길
고이정,영업,제주특별자치도 제주시 애월읍 애월리 2457-1,"제주특별자치도 제주시 애월읍 애월로 6, A동 1층",63043.0,기타,제주특별자치도,제주시,애월읍
옹포83,영업,제주특별자치도 제주시 한림읍 옹포리 227-7번지,"제주특별자치도 제주시 한림읍 옹포8길 3, 1층",63012.0,경양식,제주특별자치도,제주시,한림읍
가죽이랑놀자,영업,제주특별자치도 제주시 구좌읍 월정리 19-1번지,"제주특별자치도 제주시 구좌읍 월정7길 44, 1층",63358.0,기타,제주특별자치도,제주시,구좌읍
일품순두부함덕점,영업,제주특별자치도 제주시 조천읍 함덕리 4149-5번지,"제주특별자치도 제주시 조천읍 함와로 24, 1층",63333.0,한식,제주특별자치도,제주시,조천읍
월정맑음,영업,제주특별자치도 제주시 구좌읍 행원리 1537-21,"제주특별자치도 제주시 구좌읍 행원로1길 32-5, 1층",63358.0,기타,제주특별자치도,제주시,구좌읍
모음해장국,영업,제주특별자치도 제주시 건입동 675-18,"제주특별자치도 제주시 사라봉13길 16, 1층 (건입동)",63283.0,기타,제주특별자치도,제주시,사라봉13길
제주덕구제주점,영업,제주특별자치도 제주시 아라일동 6114-9,"제주특별자치도 제주시 인다6길 57, 1층 (아라일동)",63247.0,기타,제주특별자치도,제주시,인다6길
주민상회하귀점,영업,제주특별자치도 제주시 애월읍 하귀1리 237-5번지,"제주특별자치도 제주시 애월읍 하광로 46, 1층",63052.0,한식,제주특별자치도,제주시,애월읍
미번베트남쌀국수,영업,제주특별자치도 제주시 한림읍 한림리 1587-2,"제주특별자치도 제주시 한림읍 한림로5길 23, 1층 1호",63032.0,기타,제주특별자치도,제주시,한림읍
주모,영업,제주특별자치도 제주시 연동 275-6 연동가나휘닉스1,"제주특별자치도 제주시 신대로20길 46, 지하1층 (연동, 연동가나휘닉스1)",63133.0,기타,제주특별자치도,제주시,신대로20길
아일랜드프로젝트,영업,제주특별자치도 제주시 삼도일동 719-30번지,"제주특별자치도 제주시 전농로 29, 1층 (삼도일동)",63173.0,기타,제주특별자치도,제주시,전농로
당당,영업,제주특별자치도 제주시 애월읍 신엄리 1212-1,제주특별자치도 제주시 애월읍 중엄안1길 25,63047.0,기타,제주특별자치도,제주시,애월읍
미화족발전문점,영업,제주특별자치도 제주시 화북일동 1947-24 화북시장아파트,"제주특별자치도 제주시 진동로5길 31, 144호 (화북일동, 화북시장아파트)",63290.0,한식,제주특별자치도,제주시,진동로5길
소동잡화,영업,제주특별자치도 제주시 조천읍 함덕리 270-20,"제주특별자치도 제주시 조천읍 함덕로 32, 2동 1층",63333.0,기타,제주특별자치도,제주시,조천읍
진식당,영업,제주특별자치도 제주시 도남동 917-6번지,"제주특별자치도 제주시 도남로7길 30, 1층 (도남동)",63200.0,한식,제주특별자치도,제주시,도남로7길
영도할배국밥,영업,제주특별자치도 제주시 일도이동 1035-3번지,"제주특별자치도 제주시 삼성로 59, 1층 (일도이동)",63268.0,기타,제주특별자치도,제주시,삼성로
꼬지사께연동점,영업,제주특별자치도 제주시 연동 1523-3번지,"제주특별자치도 제주시 국기로4길 1, 1층 (연동)",63139.0,기타,제주특별자치도,제주시,국기로4길
영평가시나물마을회,영업,제주특별자치도 제주시 영평동 2261 양지공원,"제주특별자치도 제주시 516로 2810-31, 양지공원 지하1층 (영평동)",63309.0,한식,제주특별자치도,제주시,516로
카페포레스트,영업,제주특별자치도 제주시 구좌읍 평대리 2876-11번지,"제주특별자치도 제주시 구좌읍 비자림로 2330, 1층",63351.0,기타,제주특별자치도,제주시,구좌읍
착한소21,영업,제주특별자치도 제주시 일도이동 48 오성빌딩,"제주특별자치도 제주시 천수로 52, 오성빌딩 1층 (일도이동)",63258.0,한식,제주특별자치도,제주시,천수로
에스,영업,제주특별자치도 제주시 노형동 923-6,"제주특별자치도 제주시 원노형2길 29, 2층 (노형동)",63084.0,기타,제주특별자치도,제주시,원노형2길
무보,영업,제주특별자치도 제주시 한림읍 금능리 1472-1,"제주특별자치도 제주시 한림읍 금능6길 16-14, 1층",63010.0,한식,제주특별자치도,제주시,한림읍
이스트포레스트,영업,제주특별자치도 제주시 구좌읍 종달리 1027,"제주특별자치도 제주시 구좌읍 종달로1길 26-1, 1층",63364.0,기타,제주특별자치도,제주시,구좌읍
콩창고,영업,제주특별자치도 제주시 한림읍 동명리 2086-1,"제주특별자치도 제주시 한림읍 명월성로 55, 1층",63013.0,기타,제주특별자치도,제주시,한림읍
초딩입맛,영업,제주특별자치도 제주시 노형동 1292-6 솔누리주택,"제주특별자치도 제주시 다랑곶길 36, 1층 (노형동, 솔누리주택)",63098.0,기타,제주특별자치도,제주시,다랑곶길
하르방짬뽕,영업,제주특별자치도 제주시 애월읍 하귀1리 214-4번지,"제주특별자치도 제주시 애월읍 하귀동남4길 4, 1층",63052.0,기타,제주특별자치도,제주시,애월읍
해강회센타,영업,제주특별자치도 제주시 용담일동 2814-5,"제주특별자치도 제주시 남성로 42, 1층 (용담일동)",63175.0,기타,제주특별자치도,제주시,남성로
군산야식,영업,제주특별자치도 제주시 삼도일동 538-4,"제주특별자치도 제주시 서사로 105, 1층 (삼도일동)",63181.0,호프/통닭,제주특별자치도,제주시,서사로
장어창고,영업,제주특별자치도 제주시 한경면 두모리 2462-1번지,"제주특별자치도 제주시 한경면 두신로 146, 1층",63002.0,한식,제주특별자치도,제주시,한경면
동백키친,영업,제주특별자치도 제주시 한림읍 수원리 479-1,"제주특별자치도 제주시 한림읍 수원7길 42, 1층",63023.0,한식,제주특별자치도,제주시,한림읍
비비큐올리브카페제주시청점,영업,제주특별자치도 제주시 이도이동 1776-31,제주특별자치도 제주시 서광로 292-1 (이도이동),63207.0,기타,제주특별자치도,제주시,서광로
돌담위에흑돼지,영업,제주특별자치도 제주시 애월읍 신엄리 963-3번지,"제주특별자치도 제주시 애월읍 애월해안로 608, 1층",63047.0,한식,제주특별자치도,제주시,애월읍
옛날통닭닭치고족치고함덕점,영업,제주특별자치도 제주시 조천읍 함덕리 72-81번지,"제주특별자치도 제주시 조천읍 함와로 54, 1층",63334.0,기타,제주특별자치도,제주시,조천읍
골프존클럽하우스그늘집,영업,제주특별자치도 제주시 노형동 2579-3,"제주특별자치도 제주시 월랑로 51, 1층 (노형동)",63100.0,기타,제주특별자치도,제주시,월랑로
서머셋,영업,제주특별자치도 제주시 연동 292-3,"제주특별자치도 제주시 삼무로 66, 1층 (연동)",63124.0,경양식,제주특별자치도,제주시,삼무로
엘리펀트힙,영업,제주특별자치도 제주시 삼도이동 1261-10,"제주특별자치도 제주시 탑동로 20, 1층 (삼도이동)",63165.0,기타,제주특별자치도,제주시,탑동로
소확행,영업,제주특별자치도 제주시 이도이동 1176-23,"제주특별자치도 제주시 동광로 12, 1층 (이도이동)",63208.0,한식,제주특별자치도,제주시,동광로
나르드카페,영업,제주특별자치도 제주시 한림읍 동명리 1597-6,"제주특별자치도 제주시 한림읍 한림상로 110, 다동 1층",63013.0,경양식,제주특별자치도,제주시,한림읍
하시야,영업,제주특별자치도 제주시 연동 255-5,"제주특별자치도 제주시 신광로10길 18, 2층 (연동)",63132.0,기타,제주특별자치도,제주시,신광로10길
딱새우랑,영업,제주특별자치도 제주시 구좌읍 한동리 1367번지,"제주특별자치도 제주시 구좌읍 해맞이해안로 990, 1층",63359.0,기타,제주특별자치도,제주시,구좌읍
뮤커피(mucoffee),영업,제주특별자치도 제주시 외도일동 530-3번지,"제주특별자치도 제주시 우정로15길 42-3, 1층 (외도일동)",63070.0,기타,제주특별자치도,제주시,우정로15길
누운,영업,제주특별자치도 제주시 조천읍 와흘리 1655,"제주특별자치도 제주시 조천읍 중산간동로 430-1, 1층",63344.0,기타,제주특별자치도,제주시,조천읍
비비큐제주우도점,영업,제주특별자치도 제주시 우도면 연평리 631-6,"제주특별자치도 제주시 우도면 우도비양길 53-8, 1층",63365.0,호프/통닭,제주특별자치도,제주시,우도면
수라원,영업,제주특별자치도 제주시 아라일동 2420-8,"제주특별자치도 제주시 구산로 70-1, 1층 (아라일동)",63236.0,뷔페식,제주특별자치도,제주시,구산로
제주담다KBS제주점,영업,제주특별자치도 제주시 도남동 668 KBS 제주방송총국,"제주특별자치도 제주시 복지로1길 8, KBS 제주방송총국 1층 (도남동)",63220.0,뷔페식,제주특별자치도,제주시,복지로1길
땡겨불닭,영업,제주특별자치도 제주시 도남동 68 한아빌라 101호,"제주특별자치도 제주시 도남로15길 4-12, 1층 101호 (도남동, 한아빌라)",63221.0,한식,제주특별자치도,제주시,도남로15길
호랑이다락,영업,제주특별자치도 제주시 한림읍 옹포리 326-3,"제주특별자치도 제주시 한림읍 한림상로 15-5, 다동 2층",63012.0,경양식,제주특별자치도,제주시,한림읍
바다수선화식당,영업,제주특별자치도 제주시 한림읍 협재리 1660-1,"제주특별자치도 제주시 한림읍 협재1길 24, 본동,2동",63011.0,경양식,제주특별자치도,제주시,한림읍
엠케이엠1에프앤비,영업,제주특별자치도 제주시 이도이동 1028-8,"제주특별자치도 제주시 구남로 49, 지1층 (이도이동)",63222.0,기타,제주특별자치도,제주시,구남로
고모네돔베,영업,제주특별자치도 제주시 조천읍 선흘리 475-4,"제주특별자치도 제주시 조천읍 선교로 519, 1층",63341.0,한식,제주특별자치도,제주시,조천읍
연동혼떡,영업,제주특별자치도 제주시 연동 272-33 로얄쇼핑센타및오피스텔,"제주특별자치도 제주시 신대로12길 51, 로얄쇼핑센타및오피스텔 지하2층 20호 (연동)",63124.0,한식,제주특별자치도,제주시,신대로12길
라뷰,영업,제주특별자치도 제주시 삼도이동 220-6,"제주특별자치도 제주시 중앙로 114, 2층 (삼도이동)",63170.0,경양식,제주특별자치도,제주시,중앙로
한림로555,영업,제주특별자치도 제주시 이도이동 1779-9,"제주특별자치도 제주시 서광로30길 7, 1층 (이도이동)",63207.0,기타,제주특별자치도,제주시,서광로30길
우주파,영업,제주특별자치도 제주시 삼도이동 1221-10,"제주특별자치도 제주시 탑동로 81, 1층 (삼도이동)",63167.0,경양식,제주특별자치도,제주시,탑동로
